Referencia	Título	Autor	Ilustrador	Edición	Editorial	Lugar de publicación	Año de publicación	ISBN	Formato	Encuadernación	Peso	Edición	Tirada	Firmado	Descripción	Estado del libro	Estado de la cubierta	Precio	Tipo de artículo	Cantidad	Catálogo	Palabras clave	Categoría de AbeBooks	URL imagen
780	Hormonas sexuales en medicina interna, Las	Ratschow, Max			Alhambra										380. Madrid, 23x17, 142pgs., holandesa con sobrecubierta fatigada 0	<no especfificado>		4	Libro	1				
1152	Automatización de bibliotecas	Reinolds, Dennis			Fundación Germán Sánchez Ruipérez Biblioteca del libro	Madrid	1985			Cartoné editorial					382. Subrayado, con sello en la primera página	Aceptable		7	Libro	1				
1383	Pensando en los hijos	Riesgo Menguez, Luis- Pablo de Riesgo, C			Eapsa	Madrid	1974			Rústica					<p>386</p>	Aceptable		5	Libro	1				
1690	Derecho penal español. Parte especial	Rodríguez Devesa, Jose María			Artes gráficas Carasa	Madrid	1983			Tela editorial					<p>390. Subrayado, con firma del anterior propietario</p>	Fatigado		5	Libro	1				
1696	Prácticas de lengua castellana ( Gramática )	Rogerio Sánchez, José			Imprenta de "La enseñanza	Madrid	1923			Cartoné					<p>391. con firma de la anterior propietaria</p>	Aceptable		6	Libro	1				
899	Así está España cuando acaba el siglo XX	Romero, Emilio			Planeta		1995			Rústica					393. Barcelona, 21x13, 237pgs., rústica, con fotografias en B/N	<no especfificado>		4	Libro	1				
316	Cartas al Rey	Romero, Emilio			Planeta Espejo de España		1973								<p>394. Nº 2, Barcelona, 24x17, 397pgs, cartoné ed. Edición especial para club planeta, fatigado</p>	<no especfificado>		4	Libro	1				
1416	Psycho-pedagogie des débiles profonds	Rouqués, Denise			Fleurus Pedagogie psichosociale	París	1972			Rústica					<p>396</p>	Fatigado		6	Libro	1				
1315	Museo del Prado	Salas, Maria paz			Publicaciones españolas temas españoles	Madrid	1958			Cuadernillo					400. Con subrayados en lista de títulos publicados, fotografías en B/N	Aceptable		4	Libro	1				
1788	Novela española de nuestro tiempo (IV), La	Sampedro, Saramago, Longares, etc			Centro de profesores y recursos de Cuenc Cuadernos de Mangana	Cuenca	2002			Rústica					<p>402. 14 cuadernillos números del 5 al 18 (curso completo).  35pgs. aprox. por tomo. Textos pertenecientes a los autores que han participado en los cursos del centro de profesores</p>	Bien		40	Libro	1				
1401	Oligofrenias, Las	Sanchez-Barranco Ruiz, Antonio			Roche	Sevilla	1976			Rústica					<p>404</p>	Aceptable		5	Libro	1				
971	Revista geográfica española nº 50	Sanz, Carlos					1967			Rústica					405. Madrid, 24x17, 116pgs., rústica, Primera parte de la huella de España en el mundo, con ilustraciones	<no especfificado>		5	Libro	1				
